,机构,次数
0,教育学院,162
1,天津职业技术师范大学,77
2,华东师范大学,70
3,教育科学学院,67
4,天津大学,57
5,西南大学,48
6,北京师范大学,41
7,南宁师范大学,35
8,江苏联合职业技术学院,33
9,同济大学,30
10,职业技术教育学院,29
11,广西师范大学,28
12,贵州师范大学,26
13,马克思主义学院,26
14,湖南师范大学,25
15,职业教育与成人教育研究所,25
16,浙江工业大学,24
17,华中师范大学,24
18,陕西师范大学,23
19,教育科学与技术学院,23
20,广东技术师范大学,22
21,深圳职业技术学院,22
22,河北科技工程职业技术大学,21
23,浙江大学,20
24,无锡商业职业技术学院,20
25,河北师范大学,19
26,浙江师范大学,19
27,黎明职业大学,19
28,金华职业技术学院,18
29,浙江金融职业学院,18
30,华南师范大学,17
31,天津职业大学,17
32,职业教育学院,17
33,商学院,17
34,南宁职业技术学院,17
35,湖北工业大学,16
36,湖南农业大学,16
37,宁波职业技术学院,16
38,继续教育学院,16
39,江苏师范大学,16
40,苏州大学,16
41,天津中德应用技术大学,16
42,南京工业职业技术大学,15
43,江苏农牧科技职业学院,15
44,广东工贸职业技术学院,15
45,教师教育学院,15
46,常州信息职业技术学院,15
47,无锡职业技术学院,15
48,苏州市职业大学,15
49,唐山工业职业技术学院,15
50,职业教育研究所,14
51,石家庄职业技术学院,14
52,江苏理工学院,14
53,长沙民政职业技术学院,14
54,厦门大学,14
55,常州大学,14
56,教育科学研究院,14
57,职业技术师范学院,13
58,管理学院,13
59,东北师范大学,13
60,广州番禺职业技术学院,13
61,重庆师范大学,13
62,云南师范大学,13
63,上海出版印刷高等专科学校,13
64,教育研究院,13
65,潍坊工程职业学院,13
66,华中科技大学,13
67,山东师范大学,13
68,江西科技师范大学,13
69,福建船政交通职业学院,12
70,常州工程职业技术学院,12
71,杭州职业技术学院,12
72,国际教育学院,12
73,山西大学,12
74,中国教育科学研究院,12
75,长沙航空职业技术学院,12
76,西南民族教育与心理研究中心,12
77,泰州职业技术学院,11
78,曲阜师范大学,11
79,教育部职业教育发展中心,11
80,外国语学院,11
81,高等教育研究所,11
82,师范学院,11
83,安徽师范大学,11
84,江苏工程职业技术学院,10
85,石河子大学,10
86,包头职业技术学院,10
87,广州铁路职业技术学院,10
88,北京经济管理职业学院,10
89,南京师范大学,10
90,高等教育研究院,10
91,武汉职业技术学院,10
92,扬州职业大学,9
93,广东科学技术职业学院,9
94,天津外国语大学,9
95,河南大学,9
96,湖南省教育科学研究院,9
97,北京财贸职业学院,9
98,河北科技师范学院,9
99,杭州科技职业技术学院,9
100,天津商务职业学院,9
101,兰州大学,9
102,泉州职业技术大学,9
103,北京外国语大学,9
104,温州大学,9
105,柳州职业技术学院,9
106,天津电子信息职业技术学院,9
107,河北工业职业技术大学,9
108,中央民族大学,9
109,公共管理学院,9
110,宜兴高等职业技术学校,9
111,浙江工商职业技术学院,9
112,上海师范大学,8
113,常州工业职业技术学院,8
114,江苏建筑职业技术学院,8
115,浙江省现代职业教育研究中心,8
116,职业教育研究院,8
117,昆明冶金高等专科学校,8
118,九江职业技术学院,8
119,东盟职业教育研究中心,8
120,东莞职业技术学院,8
121,天津市教育科学研究院,8
122,首都师范大学,8
123,岳阳职业技术学院,8
124,南京大学,8
125,北京大学,8
126,无锡工艺职业技术学院,8
127,河北大学,8
128,浙江广厦建设职业技术大学,8
129,浙江交通职业技术学院,8
130,云南大学,8
131,南京邮电大学,8
132,浙江旅游职业学院,8
133,大连职业技术学院,7
134,广东轻工职业技术学院,7
135,高职教育研究所,7
136,湖南商务职业技术学院,7
137,兰州职业技术学院,7
138,广东农工商职业技术学院,7
139,湖南化工职业技术学院,7
140,哈尔滨职业技术学院,7
141,北京农业职业学院,7
142,中国人民大学,7
143,陕西科技大学,7
144,浙江商业职业技术学院,7
145,深圳信息职业技术学院,7
146,湖北职业技术学院,7
147,武汉船舶职业技术学院,7
148,职业技术学院,7
149,北京联合大学,7
150,江西财经职业学院,7
151,广东工商职业技术大学,7
152,重庆工程职业技术学院,7
153,沈阳师范大学,7
154,山东商业职业技术学院,7
155,温州科技职业学院,7
156,烟台职业学院,7
157,浙江工贸职业技术学院,7
158,西华师范大学,7
159,广西电力职业技术学院,7
160,河北石油职业技术大学,7
161,国家开放大学,6
162,中山职业技术学院,6
163,南京科技职业学院,6
164,西北师范大学,6
165,宁波大学,6
166,常州机电职业技术学院,6
167,重庆电子工程职业学院,6
168,喀什大学,6
169,职业与成人教育研究所,6
170,陕西工业职业技术学院,6
171,江苏航运职业技术学院,6
172,抚顺职业技术学院,6
173,铜仁学院,6
174,南京信息职业技术学院,6
175,江西旅游商贸职业学院,6
176,苏州工业职业技术学院,6
177,重庆工商职业学院,6
178,徐州工业职业技术学院,6
179,上海工程技术大学,6
180,四川轻化工大学,6
181,浙江开放大学,6
182,义乌工商职业技术学院,6
183,武汉大学,6
184,广东开放大学,6
185,桂林师范高等专科学校,6
186,广东省外语艺术职业学院,6
187,浙江经贸职业技术学院,6
188,新疆师范大学,6
189,闽西职业技术学院,6
190,湖北科技职业学院,6
191,黄冈职业技术学院,6
192,南通职业大学,6
193,江苏理工学院教育学院,6
194,宣城职业技术学院,6
195,北京信息职业技术学院,6
196,江苏省教育科学研究院,5
197,教育部课程教材研究所,5
198,辽宁开放大学,5
199,教育部职业教育与成人教育司,5
200,滁州职业技术学院,5
201,赣南师范大学,5
202,国家教育行政学院,5
203,湖南工业职业技术学院,5
204,长沙商贸旅游职业技术学院,5
205,江苏经贸职业技术学院,5
206,宁波幼儿师范高等专科学校,5
207,广西经贸职业技术学院,5
208,四川师范大学,5
209,厦门城市职业学院,5
210,沈阳职业技术学院,5
211,威海海洋职业学院,5
212,浙江工业职业技术学院,5
213,国家职业教育研究院,5
214,广州城市职业学院,5
215,高等职业教育研究所,5
216,无锡科技职业学院,5
217,天津轻工职业技术学院,5
218,湖南汽车工程职业学院,5
219,南京信息工程大学,5
220,上海交通职业技术学院,5
221,温州职业技术学院,5
222,湖北工业职业技术学院,5
223,伊犁师范大学,5
224,江西师范大学,5
225,内蒙古师范大学,5
226,山东水利职业学院,5
227,无锡南洋职业技术学院,5
228,兰州石化职业技术大学,5
229,法学院,5
230,苏州农业职业技术学院,5
231,南京农业大学,5
232,江苏财经职业技术学院,4
233,湖南环境生物职业技术学院,4
234,辽宁装备制造职业技术学院,4
235,浙江机电职业技术学院,4
236,武汉铁路职业技术学院,4
237,国际传媒学院,4
238,河源职业技术学院,4
239,廊坊职业技术学院,4
240,福建农林大学,4
241,辽宁医药职业学院,4
242,南京工业职业技术学院,4
243,湖南电气职业技术学院,4
244,北京交通运输职业学院,4
245,南通大学,4
246,文学院,4
247,铜仁幼儿师范高等专科学校,4
248,世界技能大赛中国研究中心,4
249,集美大学,4
250,浙江同济科技职业学院,4
251,浙江纺织服装职业技术学院,4
252,成都航空职业技术学院,4
253,上海理工大学,4
254,浙江经济职业技术学院,4
255,上海工艺美术职业学院,4
256,江苏大学,4
257,江苏省灌南中等专业学校,4
258,浙江省教育科学研究院,4
259,江苏信息职业技术学院,4
260,贵州开放大学,4
261,江苏城乡建设职业学院,4
262,天津师范大学,4
263,湖北大学,4
264,三亚航空旅游职业学院,4
265,经济管理学院,4
266,江西农业大学,4
267,职教师资学院,4
268,职业教育评价研究中心,4
269,辽宁省职业教育研究院,4
270,辽宁石化职业技术学院,4
271,湖北开放大学,4
272,河北软件职业技术学院,4
273,天津工业职业学院,4
274,襄阳职业技术学院,4
275,武汉理工大学,4
276,福建信息职业技术学院,4
277,福州职业技术学院,4
278,安徽商贸职业技术学院,4
279,江阴职业技术学院,4
280,江苏食品药品职业技术学院,4
281,珠海城市职业技术学院,4
282,柳州铁道职业技术学院,4
283,青岛工程职业学院,4
284,苏州工业园区服务外包职业学院,4
285,职业教育研究中心,4
286,福建农业职业技术学院,4
287,山西师范大学,4
288,南昌大学,4
289,湖南机电职业技术学院,4
290,西北民族大学,4
291,北京劳动保障职业学院,4
292,天津现代职业技术学院,4
293,长沙环境保护职业技术学院,4
294,农业农村部农村经济研究中心,4
295,阳江职业技术学院,4
296,河南省教育科学规划与评估院,4
297,教育部学校,4
298,规划建设发展中心,4
299,国际商学院,4
300,北京教育科学研究院,4
301,池州职业技术学院,4
302,广东职业技术学院,4
303,广州城建职业学院,4
304,现代职业教育研究院,4
305,四川交通职业技术学院,4
306,南京信息职业技术学院智能制造学院,4
307,职教学院,3
308,江西科技师范学院,3
309,南宁市教育科学研究所,3
310,河南交通职业技术学院,3
311,安徽机电职业技术学院,3
312,商丘职业技术学院,3
313,职业教育教师研究院,3
314,苏州工业园区职业技术学院,3
315,江苏商贸职业学院,3
316,塔里木大学,3
317,重庆三峡职业学院,3
318,哈尔滨科学技术职业学院,3
319,济南职业学院,3
320,包头铁道职业技术学院,3
321,宁夏大学,3
322,江苏省太仓中等专业学校,3
323,江苏省铜山中等专业学校,3
324,辽宁建筑职业学院,3
325,湖南科技职业学院,3
326,教育学部职业教育与成人教育研究所,3
327,梵净教育研究院,3
328,贵州工业职业技术学院,3
329,广东女子职业技术学院,3
330,广东建设职业技术学院,3
331,厦门开放大学,3
332,湖南开放大学,3
333,苏州经贸职业技术学院,3
334,吉林农业大学,3
335,人文学院,3
336,南京城市职业学院,3
337,山东省教育科学研究院,3
338,工程与设计学院,3
339,天津交通职业学院,3
340,四川开放大学,3
341,无锡城市职业技术学院,3
342,广东理工职业学院,3
343,机电工程学院,3
344,芜湖职业技术学院,3
345,莱芜职业技术学院,3
346,东莞城市学院城建与环境学院,3
347,黄炎培职业教育研究院,3
348,开发区职业教育研究院,3
349,广西交通职业技术学院,3
350,南开大学,3
351,河北旅游职业学院,3
352,国际与比较教育研究所,3
353,广西教育研究院,3
354,湖南铁路科技职业技术学院,3
355,天津机电职业技术学院,3
356,南方科技大学,3
357,广西国际商务职业技术学院,3
358,浙江省温岭市职业中等专业学校,3
359,天津滨海职业学院,3
360,河北政法职业学院,3
361,湖北工业职业技术学院建筑工程学院,3
362,霍尔果斯商学院,3
363,广州科技贸易职业学院,3
364,南京铁道职业技术学院,3
365,雅安职业技术学院,3
366,湄洲湾职业技术学院,3
367,心理健康教育中心,3
368,柳州城市职业学院,3
369,重庆开放大学,3
370,山西工程科技职业大学,3
371,经济与管理学院,3
372,社会职业与职业教育研究院,3
373,经济与工商管理学院,3
374,阜新高等专科学校,3
375,重庆财经职业学院,3
376,天津海远职业学院,3
377,机械工业教育发展中心,3
378,成人教育与培训学院,3
379,云南交通职业技术学院,3
380,苏州工艺美术职业技术学院,3
381,南充职业技术学院,3
382,宁波城市职业技术学院,3
383,河北科技职业技术大学,3
384,陕西开放大学,3
385,开封大学,3
386,陕西职业技术学院,3
387,人力资源和社会保障部职业技能鉴定中心,3
388,广西职业教育发展研究中心,3
389,汕头职业技术学院,3
390,邯郸职业技术学院,3
391,太原旅游职业学院,3
392,扬州工业职业技术学院,3
393,广西民族大学,3
394,菏泽家政职业学院,3
395,长春汽车工业高等专科学校,3
396,上海市教育科学研究院,3
397,湘中幼儿师范高等专科学校,3
398,顺德职业技术学院,3
399,湖南信息学院,3
400,湖南铁道职业技术学院,3
401,福建技术师范学院教育学院,3
402,东北财经大学,3
403,职教研究所,3
404,北京工业职业技术学院,3
405,上海外国语大学,3
406,中国社会科学院大学,3
407,石家庄信息工程职业学院,3
408,武汉科技大学,3
409,广东邮电职业技术学院,3
410,中国计量大学,3
411,四川化工职业技术学院,3
412,江苏旅游职业学院信息工程学院,3
413,经济学院,3
414,首都经济贸易大学,3
415,机械工程教育发展中心,3
416,广东职业技术学院创新创业学院,3
417,山东华宇工学院,3
418,景德镇艺术职业大学,3
419,贵州盛华职业学院,3
420,广东岭南职业技术学院,2
421,山西工程职业技术学院,2
422,无锡机电高等职业技术学校,2
423,安徽工商职业学院,2
424,仲恺农业工程学院,2
425,盘锦职业技术学院,2
426,广西技术师范大学,2
427,重庆机电职业技术大学,2
428,信息工程学院,2
429,江苏省丹阳中等专业学校,2
430,浙江建设职业技术学院,2
431,基础教育研究所,2
432,河南开放大学,2
433,广西职业技术学院,2
434,浙江科技学院中德应用型大学,2
435,广东省教育研究院,2
436,天津战略研究院,2
437,中南民族大学,2
438,教育科学规划研究所,2
439,江苏开放大学,2
440,滨州职业学院,2
441,技术与职业教育研究所,2
442,扬州市职业大学,2
443,浙江育英职业技术学院,2
